NameofPP,TotalTime,TotalCost,TotalNodes,TotalSimTime
A star,3.619997,28,28,3.89972
TRRT,12.49025,1307.473,396,10.82335
Dijkstra,10.53809,1488,32,0.1937656
A star,3.619997,28,28,3.418763
TRRT,0,0,1,3.740337
TRRT,0,0,1,1.151672
TRRT,0,0,1,6.129927
TRRT,0,0,1,7.1407
TRRT,0,0,1,13.46795
Dijkstra,14.932,1488,32,0.3023376
